yob,sex,firstname,frequency,proportion
2023,F,Penelope,129,0.000898961
2023,F,Chloe,39,0.000271779
2023,F,Elena,59,0.000411153
2023,F,Kaia,58,0.000404184
2023,F,Harper,235,0.001637642
2023,F,Maeve,90,0.000627182
2023,F,Alice,85,0.000592339
2023,F,Hazel,266,0.001853671
2023,F,Annabelle,59,0.000411153
2023,F,Chloe,255,0.001777016
2023,F,Evie,185,0.001289208
2023,F,Freya,130,0.00090593
2023,F,Lainey,53,0.000369341
2023,F,Isabelle,30,0.000209061
2023,F,Summer,27,0.000188155
2023,F,Mia,289,0.002013951
2023,F,Daisy,169,0.001177709
2023,F,Evelyn,56,0.000390247
2023,F,Gracie,17,0.000118468
2023,F,Olivia,306,0.002132419
2023,F,Ava,254,0.001770047
2023,F,Maeve,148,0.001031366
2023,F,Mia,347,0.002418135
2023,F,Daisy,180,0.001254364
2023,F,Emma,125,0.000871086
2023,F,Eden,78,0.000543558
2023,F,Sophia,176,0.001226489
2023,F,Adeline,67,0.000466902
2023,F,Ella,60,0.000418121
2023,F,Scarlett,132,0.000919867
2023,F,Lucy,142,0.000989554
2023,F,Pippa,83,0.000578401
2023,F,Lucia,78,0.000543558
2023,F,Millie,128,0.000891992
2023,F,Piper,17,0.000118468
2023,F,Isla,280,0.001951233
2023,F,Olivia,232,0.001616736
2023,F,Claire,60,0.000418121
2023,F,Sienna,50,0.000348434
2023,F,Florence,37,0.000257842
2023,F,Eliza,22,0.000153311
2023,F,Luna,105,0.000731712
2023,F,Amelia,271,0.001888515
2023,F,Evie,130,0.00090593
2023,F,Harlow,98,0.000682932
2023,F,Emily,28,0.000195123
2023,F,Eliana,22,0.000153311
2023,F,Ayla,137,0.00095471
2023,F,Emily,134,0.000933804
2023,F,Lily,178,0.001240427
2023,F,Eden,59,0.000411153
2023,F,Riley,58,0.000404184
2023,F,Thea,55,0.000383278
2023,F,Sophie,48,0.000334497
2023,F,Lola,21,0.000146342
2023,F,Annabelle,16,0.000111499
2023,F,Jasmine,15,0.00010453
2023,F,Charlotte,319,0.002223012
2023,F,Addison,71,0.000494777
2023,F,Goldie,53,0.000369341
2023,F,Piper,80,0.000557495
2023,F,Scarlett,97,0.000675963
2023,F,Sage,55,0.000383278
2023,F,Charlotte,104,0.000724744
2023,F,Rosie,30,0.000209061
2023,F,Evelyn,199,0.001386769
2023,F,Pippa,82,0.000571433
2023,F,Ava,284,0.001979108
2023,F,Zoe,246,0.001714298
2023,F,Billie,155,0.001080147
2023,F,Matilda,207,0.001442519
2023,F,Sophie,189,0.001317082
2023,F,Penelope,40,0.000278748
2023,F,Zara,33,0.000229967
2023,F,Harlow,16,0.000111499
2023,F,Mila,184,0.001282239
2023,F,Eleanor,119,0.000829274
2023,F,Emma,100,0.000696869
2023,F,Phoebe,65,0.000452965
2023,F,Willow,199,0.001386769
2023,F,Eleanor,105,0.000731712
2023,F,Ayla,102,0.000710806
2023,F,Sofia,93,0.000648088
2023,F,Bonnie,93,0.000648088
2023,F,Adeline,26,0.000181186
2023,F,Maisie,25,0.000174217
2023,F,Maya,113,0.000787462
2023,F,Lillian,51,0.000355403
2023,F,Sofia,38,0.00026481
2023,F,Sienna,193,0.001344957
2023,F,Mila,211,0.001470394
2023,F,Abigail,107,0.00074565
2023,F,Cleo,77,0.000536589
2023,F,Ivy,205,0.001428581
2023,F,Hannah,72,0.000501746
2023,F,Billie,31,0.000216029
2023,F,Maisie,93,0.000648088
2023,F,Rosie,71,0.000494777
2023,F,Harper,253,0.001763078
2023,F,Aria,180,0.001254364
2023,F,Elena,95,0.000662026
2023,F,Kaia,75,0.000522652
2023,F,Ella,183,0.00127527
2023,F,Florence,135,0.000940773
2023,F,Poppy,32,0.000222998
2023,F,Nina,21,0.000146342
2023,F,Poppy,131,0.000912898
2023,F,Hannah,112,0.000780493
2023,F,Stella,99,0.0006899
2023,F,Adeline,71,0.000494777
2023,F,Summer,89,0.000620213
2023,F,Maya,70,0.000487808
2023,F,Ava,77,0.000536589
2023,F,Elsie,49,0.000341466
2023,F,Sophia,170,0.001184677
2023,F,Emily,114,0.000794431
2023,F,Bonnie,103,0.000717775
2023,F,Eden,80,0.000557495
2023,F,Stevie,57,0.000397215
2023,F,Eleanor,157,0.001094084
2023,F,Pippa,69,0.00048084
2023,F,Violet,52,0.000362372
2023,F,Callie,15,0.00010453
2023,F,Ellie,183,0.00127527
2023,F,Remi,169,0.001177709
2023,F,Isabelle,140,0.000975617
2023,F,Eva,118,0.000822305
2023,F,Remi,23,0.00016028
2023,F,Mackenzie,122,0.00085018
2023,F,Millie,114,0.000794431
2023,F,Stella,88,0.000613245
